id,vp_x,vp_y,vp_z,euler_1,euler_2,euler_3,n0_x,n0_y,n0_z,n1_x,n1_y,n1_z,n2_x,n2_y,n2_z,n3_x,n3_y,n3_z,n4_x,n4_y,n4_z,n5_x,n5_y,n5_z,n6_x,n6_y,n6_z,n7_x,n7_y,n7_z,n8_x,n8_y,n8_z,n9_x,n9_y,n9_z,n10_x,n10_y,n10_z,n11_x,n11_y,n11_z,n12_x,n12_y,n12_z,n13_x,n13_y,n13_z,n14_x,n14_y,n14_z,n15_x,n15_y,n15_z,n16_x,n16_y,n16_z,n17_x,n17_y,n17_z,n18_x,n18_y,n18_z,n19_x,n19_y,n19_z,n20_x,n20_y,n20_z,n21_x,n21_y,n21_z,n22_x,n22_y,n22_z,n23_x,n23_y,n23_z,n24_x,n24_y,n24_z
000000,0.504639,0.705259,0.504802,317.415,44.6233,32.3527,0.506503,0.791169,0.342792,-0.638069,0.674396,0.371561,0,0,0,0,0,0,0.994666,0.100009,-0.0252512,-0.116592,0.940643,-0.318744,0,0,0,0.624068,0.741665,-0.245912,-0.779718,0.591175,-0.206279,0.701957,0.302635,0.644724,-0.70699,0.164279,0.687879,-0.0812184,0.895937,0.436693,0,0,0,0,0,0,-0.335214,0.552526,0.763117,0,0,0,0,0,0,0.864936,0.474128,0.164587,-0.932762,0.293,0.210014,-0.930182,0.0942222,-0.3548,0.870807,0.277042,-0.406133,0.194246,0.980856,-0.0137655,-0.402466,0.915433,0.00209219,-0.404689,0.720443,-0.563196,0,0,0
000001,0.504557,0.705005,0.505119,317.415,44.6233,32.3527,0.506596,0.791313,0.342322,-0.638069,0.674396,0.371561,0,0,0,0,0,0,0.994616,0.100507,-0.0252512,-0.116592,0.940643,-0.318744,0,0,0,0.624068,0.741665,-0.245912,-0.779718,0.591175,-0.206279,0.701561,0.303553,0.644723,-0.707438,0.163869,0.687516,-0.0812364,0.896154,0.436243,0,0,0,0.265572,0.612147,0.744814,0,0,0,0,0,0,0,0,0,0.865008,0.474167,0.164094,-0.932762,0.293,0.210014,-0.930233,0.0937247,-0.3548,0.870807,0.277042,-0.406133,0.194246,0.980856,-0.0137655,-0.402466,0.915434,0.00159221,-0.403951,0.721176,-0.562786,0,0,0
000002,0.504796,0.705272,0.505402,317.415,44.6233,32.3527,0.506596,0.791313,0.342322,-0.638069,0.674396,0.371561,0,0,0,0,0,0,0.994678,0.100011,-0.0247515,-0.116592,0.940643,-0.318744,0,0,0,0.624148,0.741758,-0.245428,-0.779718,0.591175,-0.206279,0.701561,0.303553,0.644723,-0.707773,0.163947,0.687153,-0.0812184,0.895937,0.436693,0,0,0,0.26603,0.611946,0.744815,0,0,0,0,0,0,0,0,0,0.864936,0.474128,0.164587,-0.932862,0.293032,0.209525,-0.930182,0.0942222,-0.3548,0.871042,0.27764,-0.405219,0.194246,0.980856,-0.0137655,-0.402466,0.915433,0.00209219,-0.404087,0.721423,-0.562373,0,0,0
000003,0.505444,0.705249,0.504955,317.415,44.6233,32.3527,0.50641,0.791025,0.343262,-0.638323,0.674666,0.370633,0,0,0,0,0,0,0.994703,0.100013,-0.0237519,-0.116592,0.940643,-0.318744,0,0,0,0.624227,0.741851,-0.244943,-0.779252,0.591448,-0.207258,0.700969,0.303297,0.645487,-0.70766,0.164434,0.687152,-0.0812184,0.895937,0.436693,0,0,0,0.265422,0.611806,0.745147,0,0,0,0,0,0,0,0,0,0.864478,0.474447,0.166066,-0.933061,0.293094,0.208547,-0.929575,0.0931563,-0.356669,0.871386,0.277225,-0.404762,0.194247,0.980863,-0.0132657,-0.402466,0.915434,0.00159221,0,0,0,0,0,0
000004,0.504836,0.705358,0.504902,317.415,44.6233,32.3527,0.505989,0.791295,0.343261,-0.638069,0.674396,0.371561,0,0,0,0,0,0,0.994678,0.100011,-0.0247515,-0.116592,0.940643,-0.318744,0,0,0,0.624148,0.741758,-0.245428,-0.779416,0.591574,-0.206279,0.701957,0.302635,0.644724,-0.707438,0.163869,0.687516,-0.0812184,0.895937,0.436693,0,0,0,0.263739,0.612947,0.744807,-0.336071,0.552009,0.763114,0,0,0,0,0,0,0.864623,0.474527,0.16508,-0.933012,0.292555,0.209525,-0.929929,0.0931918,-0.355735,0.871042,0.27764,-0.405219,0.194247,0.980863,-0.0132657,-0.402466,0.915433,0.00209219,-0.404689,0.720443,-0.563196,0,0,0
000005,0.505083,0.704504,0.505318,317.415,44.6233,32.3527,0.506175,0.791582,0.342321,-0.638323,0.674666,0.370633,0,0,0,0,0,0,0.994641,0.100509,-0.0242517,-0.116556,0.940325,-0.319691,0,0,0,0.624068,0.741665,-0.245912,-0.779554,0.59105,-0.207257,0.701561,0.303553,0.644723,-0.70766,0.164434,0.687152,-0.0812544,0.896372,0.435793,0,0,0,0.265722,0.612487,0.74448,-0.336035,0.552921,0.762469,0,0,0,0,0,0,0.864936,0.474128,0.164587,-0.933211,0.292617,0.208548,-0.929879,0.0936893,-0.355735,0.871042,0.27764,-0.405219,0.194243,0.980842,-0.0147653,-0.402466,0.915435,0.000592243,-0.403815,0.72093,-0.563199,0,0,0
000006,0.505262,0.705397,0.504535,317.415,44.6233,32.3527,0.50641,0.791025,0.343262,-0.638069,0.674396,0.371561,0,0,0,0,0,0,0.994741,0.0995143,-0.0242517,-0.116592,0.940643,-0.318744,0,0,0,0.62453,0.741436,-0.245429,-0.779554,0.59105,-0.207257,0.701365,0.302379,0.645488,-0.707438,0.163869,0.687516,-0.0812003,0.895719,0.437143,0,0,0,0.264814,0.611665,0.745479,-0.334786,0.552784,0.763118,0,0,0,0,0,0,0.864791,0.474049,0.165573,-0.932962,0.293063,0.209036,-0.929575,0.0931563,-0.356669,0.871042,0.27764,-0.405219,0.194249,0.980869,-0.0127658,-0.402466,0.915434,0.00159221,-0.403815,0.72093,-0.563199,0,0,0
000007,0.505036,0.704965,0.505034,317.415,44.6233,32.3527,0.506596,0.791313,0.342322,-0.638687,0.674323,0.370632,0,0,0,0,0,0,0.994678,0.100011,-0.0247515,-0.116556,0.940325,-0.319691,0,0,0,0.62445,0.741343,-0.245913,-0.779636,0.591113,-0.206768,0.701957,0.302635,0.644724,-0.707773,0.163947,0.687153,-0.0812364,0.896154,0.436243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864623,0.474527,0.16508,-0.932962,0.293063,0.209036,-0.929879,0.0936893,-0.355735,0.871042,0.27764,-0.405219,0.194246,0.980856,-0.0137655,-0.402466,0.915434,0.00159221,-0.404252,0.720686,-0.563198,0,0,0
000008,0.505278,0.705096,0.504713,317.415,44.6233,32.3527,0.50641,0.791025,0.343262,-0.638687,0.674323,0.370632,0,0,0,0,0,0,0.994741,0.0995143,-0.0242517,-0.116556,0.940325,-0.319691,0,0,0,0.624148,0.741758,-0.245428,-0.779554,0.59105,-0.207257,0.700969,0.303297,0.645487,-0.707325,0.164356,0.687516,-0.0812184,0.895937,0.436693,0,0,0,0.266646,0.610863,0.745484,-0.332608,0.554983,0.762473,0,0,0,0,0,0,0.864551,0.474487,0.165573,-0.932962,0.293063,0.209036,-0.929702,0.0936715,-0.356202,0.871042,0.27764,-0.405219,0.194246,0.980856,-0.0137655,-0.402466,0.915434,0.00159221,-0.40529,0.719461,-0.564017,0,0,0
000009,0.504778,0.705406,0.504694,317.415,44.6233,32.3527,0.50641,0.791025,0.343262,-0.638069,0.674396,0.371561,0,0,0,0,0,0,0.994678,0.100011,-0.0247515,-0.116592,0.940643,-0.318744,0,0,0,0.62445,0.741343,-0.245913,-0.779718,0.591175,-0.206279,0.700969,0.303297,0.645487,-0.70699,0.164279,0.687879,-0.0812003,0.895719,0.437143,0,0,0,0.266646,0.610863,0.745484,0,0,0,0,0,0,0,0,0,0.864623,0.474527,0.16508,-0.932762,0.293,0.210014,-0.929929,0.0931918,-0.355735,0.870958,0.276565,-0.406133,0.194247,0.980863,-0.0132657,-0.402465,0.915432,0.00259218,-0.404689,0.720443,-0.563196,0,0,0
