id,vp_x,vp_y,vp_z,euler_1,euler_2,euler_3,increment,n0_x,n0_y,n0_z,n1_x,n1_y,n1_z,n2_x,n2_y,n2_z,n3_x,n3_y,n3_z,n4_x,n4_y,n4_z,n5_x,n5_y,n5_z,n6_x,n6_y,n6_z,n7_x,n7_y,n7_z,n8_x,n8_y,n8_z,n9_x,n9_y,n9_z,n10_x,n10_y,n10_z,n11_x,n11_y,n11_z,n12_x,n12_y,n12_z,n13_x,n13_y,n13_z,n14_x,n14_y,n14_z,n15_x,n15_y,n15_z,n16_x,n16_y,n16_z,n17_x,n17_y,n17_z,n18_x,n18_y,n18_z,n19_x,n19_y,n19_z,n20_x,n20_y,n20_z,n21_x,n21_y,n21_z,n22_x,n22_y,n22_z,n23_x,n23_y,n23_z,n24_x,n24_y,n24_z
000000,0.507116,0.703311,0.505474,113.557,288.179,16.751,0.0005,0.548793,0.729621,0.408019,-0.602837,0.686652,0.406321,0,0,0,0,0,0,0.999316,0.0369285,0.001853,-0.049602,0.966393,-0.252237,0,0,0,0.674813,0.715955,-0.178986,-0.735525,0.65367,-0.178096,0.705637,0.208776,0.677118,-0.71169,0.158358,0.684412,-0.0328631,0.866546,0.498014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889219,0.40393,0.214779,-0.917533,0.336626,0.211697,-0.913649,0.178713,-0.365113,0.895853,0.250432,-0.367058,0.256664,0.964613,0.0603793,-0.343228,0.937345,0.0598221,-0.345969,0.783608,-0.516007,0,0,0
000001,0.503839,0.708907,0.509758,113.557,288.179,16.751,0.0005,0.549439,0.729644,0.407107,-0.601223,0.684803,0.411796,-0.610383,0.388114,-0.690507,0,0,0,0.999291,0.0374278,-0.0041461,-0.0497022,0.968865,-0.24255,0,0,0,0.674879,0.716745,-0.175542,-0.736671,0.655365,-0.166769,0.709379,0.210402,0.67269,-0.711799,0.15787,0.684412,-0.0328184,0.865049,0.500613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889692,0.404692,0.21136,-0.916222,0.336145,0.218045,-0.91709,0.179896,-0.355786,0.895676,0.250383,-0.367523,0.256555,0.964214,0.0668651,-0.343021,0.936768,0.0693018,-0.347837,0.789206,-0.506126,0,0,0
000002,0.509888,0.706355,0.508334,113.557,288.179,16.751,0.0005,0.547923,0.728482,0.411212,-0.60337,0.687263,0.404493,-0.604414,0.388438,-0.695557,0,0,0,0.999272,0.0374271,0.00735119,-0.0496577,0.967765,-0.246912,0,0,0,0.676086,0.716561,-0.171605,-0.735458,0.653611,-0.178588,0.705596,0.207721,0.677485,-0.715462,0.158682,0.680392,-0.0333479,0.86603,0.498879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887922,0.403893,0.220146,-0.918516,0.336985,0.206809,-0.912918,0.179589,-0.366509,0.898653,0.251208,-0.359607,0.25608,0.964375,0.066366,-0.343187,0.937231,0.0618183,-0.346325,0.785698,-0.512579,0,0,0
000003,0.503551,0.70181,0.503574,113.557,288.179,16.751,0.0005,0.549778,0.730913,0.404364,-0.601763,0.685422,0.409972,-0.604346,0.386611,-0.696633,0,0,0,0.999286,0.0374277,-0.00514602,-0.049571,0.965633,-0.255139,0,0,0,0.67393,0.715033,-0.185868,-0.735588,0.654397,-0.175144,0.706935,0.209159,0.675645,-0.708449,0.157127,0.688048,-0.0328631,0.866546,0.498014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890171,0.404908,0.208916,-0.916324,0.336183,0.217557,-0.915236,0.180043,-0.360454,0.893175,0.24969,-0.374023,0.256719,0.964811,0.0568856,-0.343228,0.937345,0.0598221,-0.345307,0.783335,-0.516865,0,0,0
000004,0.503351,0.703958,0.508265,113.557,288.179,16.751,0.0005,0.549624,0.731535,0.403448,-0.602032,0.685731,0.40906,0,0,0,0,0,0,0.999283,0.0374276,-0.00564598,-0.0496326,0.967145,-0.249333,0,0,0,0.674739,0.715155,-0.182429,-0.736705,0.654054,-0.171696,0.709844,0.210018,0.67232,-0.71113,0.157722,0.685141,-0.0328853,0.867292,0.496712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890567,0.404538,0.207938,-0.916598,0.335751,0.217069,-0.916644,0.180318,-0.35672,0.894566,0.249556,-0.370775,0.25668,0.96467,0.0593812,-0.343166,0.937172,0.0628163,-0.346171,0.786604,-0.511292,0,0,0
000005,0.500453,0.706551,0.502779,113.557,288.179,16.751,0.0005,0.549163,0.730107,0.406649,-0.59945,0.682772,0.41771,0,0,0,0,0,0,0.999237,0.0374258,-0.0111456,-0.0496427,0.967394,-0.248365,0,0,0,0.674358,0.714757,-0.185377,-0.736734,0.655421,-0.166276,0.707906,0.209446,0.674538,-0.704974,0.156868,0.691668,-0.032766,0.863292,0.503639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89055,0.405079,0.20696,-0.914661,0.335574,0.225358,-0.917264,0.17993,-0.355319,0.891726,0.249288,-0.377729,0.256632,0.964494,0.0623753,-0.342563,0.936972,0.0688033,-0.346528,0.786168,-0.51172,0,0,0
000006,0.500863,0.702622,0.505758,113.557,288.179,16.751,0.0005,0.550634,0.732033,0.401161,-0.601223,0.684803,0.411796,-0.608324,0.386196,-0.693393,0,0,0,0.999243,0.037426,-0.0106457,-0.049602,0.966393,-0.252237,0,0,0,0.673373,0.715173,-0.187341,-0.736896,0.654225,-0.170218,0.710166,0.210113,0.67195,-0.70756,0.157954,0.688773,-0.0328705,0.866795,0.49758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891112,0.405333,0.204024,-0.915396,0.335843,0.221946,-0.917439,0.179964,-0.354851,0.892224,0.248907,-0.376804,0.256726,0.964838,0.0563864,-0.342696,0.937344,0.0628166,-0.345766,0.785663,-0.51301,0,0,0
000007,0.504741,0.709355,0.500778,113.557,288.179,16.751,0.0005,0.547446,0.727032,0.4144,-0.599587,0.68293,0.417256,0,0,0,0,0,0,0.999278,0.0379277,-0.00214631,-0.0496727,0.968134,-0.245458,0,0,0,0.674696,0.716555,-0.177018,-0.7365,0.654542,-0.170711,0.70275,0.208967,0.680055,-0.706431,0.156679,0.690222,-0.0326903,0.860765,0.507952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888619,0.404208,0.216732,-0.915707,0.335957,0.220484,-0.914445,0.179378,-0.362785,0.894073,0.249939,-0.371703,0.256519,0.964083,0.06886,-0.342985,0.936669,0.070798,-0.346224,0.785463,-0.513008,0,0,0
000008,0.509754,0.706094,0.507179,113.557,288.179,16.751,0.0005,0.547798,0.728318,0.411667,-0.603104,0.686958,0.405407,0,0,0,0,0,0,0.999272,0.0374271,0.00735119,-0.0496527,0.967641,-0.247396,0,0,0,0.675663,0.716842,-0.172097,-0.735126,0.653985,-0.178588,0.704804,0.208009,0.678221,-0.714248,0.159437,0.68149,-0.0333404,0.865781,0.499312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887922,0.403893,0.220146,-0.918321,0.336914,0.207787,-0.91275,0.178537,-0.367439,0.898306,0.251112,-0.36054,0.256572,0.964278,0.0658676,-0.343197,0.93726,0.0613193,-0.346479,0.78479,-0.513864,0,0,0
000009,0.504053,0.707184,0.502837,113.557,288.179,16.751,0.0005,0.548172,0.728808,0.4103,-0.600408,0.68387,0.414528,0,0,0,0,0,0,0.999309,0.0369282,-0.0041461,-0.0496527,0.967641,-0.247396,0,0,0,0.675053,0.715482,-0.17997,-0.736437,0.654485,-0.171204,0.705779,0.208297,0.677118,-0.707777,0.156978,0.688774,-0.0327584,0.863041,0.504071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889609,0.404106,0.212826,-0.915914,0.336033,0.219508,-0.915236,0.180043,-0.360454,0.893939,0.25042,-0.371703,0.256581,0.96431,0.0653687,-0.343056,0.936865,0.0678055,-0.346224,0.785463,-0.513008,0,0,0
